agent,record_type,subject,platform,platform_group,region,event_name,start_date,end_date,venue,opportunity_type,confidence_level,verification_status,data_label,source_label,source_url,collected_at,notes
source_research,event_opportunity,Anime Festival Asia Thailand 2026,event,thailand_event,Thailand,Anime Festival Asia Thailand 2026,2026-05-30,2026-05-31,"Queen Sirikit National Convention Center - Exhibition Hall 8, Level LG",shoot_and_post_event,high,verified_in_browser,verified,QSNCC official event calendar - Anime Festival Asia Thailand 2026,https://www.qsncc.com/en/whats-on/event-calendar/anime-festival-asia-thailand-2026/,2026-05-14,"Official venue page says event runs 30 May 2026 - 31 May 2026 and links to AFA official site"
source_research,event_crosscheck,Anime Festival Asia Thailand 2026,event,thailand_event,Thailand,Anime Festival Asia Thailand 2026,2026-05-30,2026-05-31,ยังไม่พบข้อมูลยืนยัน,source_crosscheck,high,verified_in_browser,verified,AFA Thailand 2026 official event page,https://animefestival.asia/afath26/,2026-05-14,"Official AFA page confirms Anime Festival Asia Thailand 2026 will take place 30 & 31 May 2026"
source_research,event_radar,Japan Week x World Cosplay Summit Thailand 2026 - Korat qualifier,event,thailand_event,Thailand,Japan Week x World Cosplay Summit Thailand 2026 - รอบคัดเลือก #3,2026-05-16,2026-05-17,Central Korat,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-14,"Props&Ops lists WCS qualifier #3 on 16-17 May at Central Korat; organizer/venue official cross-check still needed"
source_research,event_radar,MAYUCOS 7 x MAYUCARD 1,event,thailand_event,Thailand,MAYUCOS 7 x MAYUCARD 1,2026-05-23,2026-05-23,Central Floresta Phuket,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-14,"Props&Ops lists date and venue; organizer/venue official cross-check still needed"
source_research,event_radar,CXM Summer Spring #4,event,thailand_event,Thailand,CXM Summer Spring #4,2026-05-23,2026-05-24,Mega Plaza สะพานเหล็ก,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-14,"Props&Ops lists date and venue; organizer/venue official cross-check still needed"
source_research,event_radar,Japan Week x World Cosplay Summit Thailand 2026 - Final,event,thailand_event,Thailand,Japan Week x World Cosplay Summit Thailand 2026 - รอบตัดสิน,2026-05-30,2026-05-31,Central แจ้งวัฒนะ,shoot_and_post_event,medium,opened_in_browser,needs_update,World Cosplay Summit official Thailand country page + Props&Ops public schedule,https://wcc.worldcosplaysummit.jp/en/player-2026/thailand/,2026-05-14,"WCS official confirms Thailand preliminary presence; Props&Ops lists final weekend and venue; venue/date range needs organizer cross-check"
source_research,event_radar,PPAO E-Sport Championship King of The Game 2026 And Cosplay,event,thailand_event,Thailand,PPAO E-Sport Championship King of The Game 2026 And Cosplay,2026-06-06,2026-06-07,Central Phitsanulok,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-14,"Props&Ops lists date and venue; organizer/venue official cross-check still needed"
source_research,reference_event,ANIMONIUM 2026,event,thailand_event_reference,Thailand,ANIMONIUM 2026,2026-02-06,2026-02-08,"Paragon Hall, 5th Floor, Siam Paragon",benchmark_reference,high,verified_in_browser,verified,Royal Paragon Hall official event page - ANIMONIUM 2026,https://www.paragonhall.com/en/events/23/ANIMONIUM-2026,2026-05-14,"Official venue page confirms anime/manga/pop culture event, dates, time, and venue; use as past benchmark reference only"
source_research,global_reference_event,World Cosplay Summit 2026,event,global_cosplay_reference,Japan,World Cosplay Summit 2026,2026-07-31,2026-08-02,"Oasis 21, Aichi Arts Center, Sakae, Nagoya",benchmark_reference,high,verified_in_browser,verified,World Cosplay Summit 2026 official global event overview,https://worldcosplaysummit.jp/en/?p=70,2026-05-14,"Official global WCS event overview confirms event name, dates, venue, organizer, and streaming platforms; use as global cosplay benchmark reference"
source_research,event_opportunity,Nippon Haku Bangkok 2026,event,thailand_event,Thailand,Nippon Haku Bangkok 2026,2026-08-28,2026-08-30,Queen Sirikit National Convention Center,shoot_and_post_event,high,verified_in_browser,verified,Nippon Haku Bangkok 2026 official exhibition guide,https://nipponhaku.com/exhibition/,2026-05-15,"Official exhibition guide confirms 2026.8.28-30 at QSNCC and Japan manga/anime/subculture relevance"
source_research,event_opportunity,gamescom asia x Thailand Game Show 2026,event,thailand_event,Thailand,gamescom asia x Thailand Game Show 2026,2026-10-29,2026-11-01,Queen Sirikit National Convention Center,shoot_and_post_event,high,verified_in_browser,verified,gamescom asia x Thailand Game Show 2026 official date and opening times,https://gamescom.asia/about/gamescom-asia/date-time,2026-05-15,"Official page confirms 29 Oct - 1 Nov 2026 at QSNCC; use as game cosplay and creator pipeline anchor"
source_research,event_radar,Sakon Nakhon Cosplay Contest 2026,event,thailand_event,Thailand,Sakon Nakhon Cosplay Contest 2026,2026-05-23,2026-05-23,Robinson Lifestyle Sakon Nakhon,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,Mukdahan Cosplay Contest 2026,event,thailand_event,Thailand,Mukdahan Cosplay Contest 2026,2026-05-24,2026-05-24,Robinson Lifestyle Mukdahan,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,HATYAI OPEN WORLD Cosplay Contest,event,thailand_event,Thailand,HATYAI OPEN WORLD Cosplay Contest,2026-06-20,2026-06-20,โรงยิมเนเซียม สนามกีฬาจิระนคร,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists Hatyai esports/cosplay contest; organizer/venue official cross-check needed"
source_research,event_radar,AKEMICOS DENSETSU ANIME 90,event,thailand_event,Thailand,AKEMICOS DENSETSU ANIME 90,2026-06-27,2026-06-27,Robinson Lifestyle Kamphaengphet,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,CosSeason #1 - Summer of Love,event,thailand_event,Thailand,CosSeason #1 - Summer of Love,2026-06-27,2026-06-27,ยังไม่พบข้อมูลยืนยัน,shoot_and_post_event,low,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops line has event/date but venue detail was not captured in browser excerpt; needs verification"
source_research,event_radar,VERZO,event,thailand_event,Thailand,VERZO,2026-06-28,2026-06-28,"MCC Hall, The Mall Bangkae",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,VocaUnity - Vocaloid Only Event,event,thailand_event,Thailand,VocaUnity - Vocaloid Only Event,2026-06-28,2026-06-28,หอประชุมอาคารรักตะกนิษฐ มหาวิทยาลัยสวนดุสิต,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,Maruya #46,event,thailand_event,Thailand,Maruya #46,2026-07-19,2026-07-19,สามย่านมิตรทาวน์ ฮอลล์ ชั้น 5,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,KOKORO cos #12 - Megane,event,thailand_event,Thailand,KOKORO cos #12 - Megane,2026-08-09,2026-08-09,"MCC Hall, The Mall Bangkae",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,HoloSpace,event,thailand_event,Thailand,HoloSpace,2026-08-15,2026-08-15,Season Square Srinakarin,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,Anime Event Thailand 7 Idol Stage,event,thailand_event,Thailand,Anime Event Thailand 7 Idol Stage,2026-08-22,2026-08-23,"Island Hall, Fashion Island",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,CosQuest 3,event,thailand_event,Thailand,CosQuest 3,2026-09-06,2026-09-06,สถานีกลางกรุงเทพอภิวัฒน์,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,DokiDoki Matsuri 2 : Racing,event,thailand_event,Thailand,DokiDoki Matsuri 2 : Racing,2026-09-20,2026-09-20,"MCC Hall ชั้น 3, The Mall Lifestore Bangkae",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,Movies Carnival 2026,event,thailand_event,Thailand,Movies Carnival 2026,2026-09-26,2026-09-26,"Pulse Hall ชั้น 7, CentralwOrld",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,แดดส่องฟ้า #2 [Unofficial] : One Piece Only Event,event,thailand_event,Thailand,แดดส่องฟ้า #2 [Unofficial] : One Piece Only Event,2026-09-27,2026-09-27,ชั้น 9 อาคารธนภูมิ,shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,KOKORO cos #13 - Cupid's Tear,event,thailand_event,Thailand,KOKORO cos #13 - Cupid's Tear,2026-11-08,2026-11-08,"MCC Hall, The Mall Bangkae",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,Maruya #47,event,thailand_event,Thailand,Maruya #47,2026-11-22,2026-11-22,"Paragon Hall, Siam Paragon",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
source_research,event_radar,Anime Event Thailand 8 Christmas Time!,event,thailand_event,Thailand,Anime Event Thailand 8 Christmas Time!,2026-12-19,2026-12-20,"Island Hall, Fashion Island",shoot_and_post_event,medium,opened_in_browser,needs_update,Props&Ops public cosplay event schedule 2026,https://propsops.com/event/,2026-05-15,"Props&Ops schedule lists date and venue; organizer/venue official cross-check needed"
